stammdaten.ENERGIELIEFERVERTRAG[].enFG[].grund[]; SG4.IDE+24.SG8.SEQ+Z75.SG10.CCI+Z61.CAV
stammdaten.ENERGIELIEFERVERTRAG[].enFG[].grundlageVerringerungUmlagen; SG4.IDE+24.SG8.SEQ+Z75.SG10.CCI+Z61
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.anrede; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name1; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name2; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name3; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name4; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.hausnummer; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.landescode; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.ort; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.ortsteil; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.postfach; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.postleitzahl; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.strasse; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].anrede; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].geschaeftspartnerrolle; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name1; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name2; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name3; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name4; SG4.IDE+24.SG12.NAD+Z09
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produkt[].produkt.codeProdukteigenschaft; SG4.IDE+24.SG8.SEQ+Z79.SG10.CCI+Z66.CAV+ZH9
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produkt[].produkt.produktCode; SG4.IDE+24.SG8.SEQ+Z79.PIA+5
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produkt[].produkt.wertedetails; SG4.IDE+24.SG8.SEQ+Z79.SG10.CCI+Z66.CAV+ZV4
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produktpaket.priorisierung; SG4.IDE+24.SG8.SEQ+ZH0.SG10.CCI+Z65.CAV
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produktpaket.produktpaketId; SG4.IDE+24.SG8.SEQ+Z79, SG4.IDE+24.SG8.SEQ+ZH0
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produktpaket.umsetzungsgradvorgabe; SG4.IDE+24.SG8.SEQ+ZH0.SG10.CCI+Z65
stammdaten.MARKTLOKATION[].versorgungsart; SG4.IDE+24.SG8.SEQ+Z01.SG10.CCI+Z36
stammdaten.NETZNUTZUNGSVERTRAG[].vertragsbeginn; SG4.IDE+24.DTM+92
stammdaten.NETZNUTZUNGSVERTRAG[].vertragsende; SG4.IDE+24.DTM+93
stammdaten.NETZNUTZUNGSVERTRAG[].vertragskonditionen.haushaltskunde; SG4.IDE+24.SG8.SEQ+Z01.SG10.CCI
transaktionsdaten.absender.ansprechpartner.eMailAdresse; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.absender.ansprechpartner.nachname; SG2.NAD+MS.SG3.CTA
transaktionsdaten.absender.rollencodenummer; SG2.NAD+MS
transaktionsdaten.absender.rollencodetyp; SG2.NAD+MS
transaktionsdaten.absender.rufnummern[].nummerntyp; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.absender.rufnummern[].rufnummer; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.anfragereferenznummer; SG4.IDE+24.SG6.RFF+TN
transaktionsdaten.antwortstatus; SG4.IDE+24.STS+E01
transaktionsdaten.antwortstatusCodeliste; SG4.IDE+24.STS+E01
transaktionsdaten.dokumentennummer; BGM+E01
transaktionsdaten.empfaenger.rollencodenummer; SG2.NAD+MR
transaktionsdaten.empfaenger.rollencodetyp; SG2.NAD+MR
transaktionsdaten.kategorie; BGM+E01
transaktionsdaten.nachrichtendatum; DTM+137
transaktionsdaten.nachrichtenreferenznummer; UNH
transaktionsdaten.pruefidentifikator; SG4.IDE+24.SG6.RFF+Z13
transaktionsdaten.transaktionsgrund; SG4.IDE+24.STS+7
transaktionsdaten.transaktionsgrundergaenzung; SG4.IDE+24.STS+7
transaktionsdaten.transaktionsgrundergaenzungBefristeteAnmeldung; SG4.IDE+24.STS+7
transaktionsdaten.vertragsbeginn; SG4.IDE+24.DTM+92
transaktionsdaten.vertragsende; SG4.IDE+24.DTM+93
transaktionsdaten.vorgangsnummer; SG4.IDE+24
