stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.anrede; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name1; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name2; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name3; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.name4; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.hausnummer; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.landescode; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.ort; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.ortsteil; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.postfach; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.postleitzahl; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].korrespondenzpartner.partneradresse.strasse; SG4.IDE+24.SG12.NAD+Z04
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].anrede; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].geschaeftspartnerrolle; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name1; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name2; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name3; SG4.IDE+24.SG12.NAD+Z09
stammdaten.ENERGIELIEFERVERTRAG[].vertragspartner2[].name4; SG4.IDE+24.SG12.NAD+Z09
stammdaten.MARKTLOKATION[].datenqualitaet; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produkt[].produkt.codeProdukteigenschaft; SG4.IDE+24.SG8.SEQ+Z79.SG10.CCI+Z66.CAV+ZH9
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produkt[].produkt.produktCode; SG4.IDE+24.SG8.SEQ+Z79.PIA+5
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produkt[].produkt.wertedetails; SG4.IDE+24.SG8.SEQ+Z79.SG10.CCI+Z66.CAV+ZV4
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produktpaket.priorisierung; SG4.IDE+24.SG8.SEQ+ZH0.SG10.CCI+Z65.CAV
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produktpaket.produktpaketId; SG4.IDE+24.SG8.SEQ+Z79, SG4.IDE+24.SG8.SEQ+ZH0
stammdaten.MARKTLOKATION[].erforderlichesProduktpaket[].produktpaket.umsetzungsgradvorgabe; SG4.IDE+24.SG8.SEQ+ZH0.SG10.CCI+Z65
stammdaten.MARKTLOKATION[].foerderungsLand; SG4.IDE+24.SG8.SEQ+Z01.SG10.CCI+Z23
stammdaten.MARKTLOKATION[].lokationsadresse.hausnummer; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.landescode; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.ort; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.ortsteil; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.postfach; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.postleitzahl; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.strasse; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.zusatzInformation.zusatz1; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.zusatzInformation.zusatz2; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.zusatzInformation.zusatz3; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.zusatzInformation.zusatz4; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].lokationsadresse.zusatzInformation.zusatz5; SG4.IDE+24.SG12.NAD+Z60
stammdaten.MARKTLOKATION[].marktlokationsId; SG4.IDE+24.SG5.LOC+Z16
stammdaten.MESSLOKATION[].messlokationsId; SG4.IDE+24.SG5.LOC+Z17
stammdaten.NETZNUTZUNGSVERTRAG[].vertragsbeginn; SG4.IDE+24.DTM+92
stammdaten.STEUERBARE_RESSOURCE[].ressourcenId; SG4.IDE+24.SG5.LOC+Z19
stammdaten.TECHNISCHE_RESSOURCE[].ressourcenId; SG4.IDE+24.SG5.LOC+Z20
stammdaten.ZAEHLER[].zaehlernummer; SG4.IDE+24.SG8.SEQ+ZA4.SG10.CCI+++E13.CAV+Z30
transaktionsdaten.absender.ansprechpartner.eMailAdresse; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.absender.ansprechpartner.nachname; SG2.NAD+MS.SG3.CTA
transaktionsdaten.absender.rollencodenummer; SG2.NAD+MS
transaktionsdaten.absender.rollencodetyp; SG2.NAD+MS
transaktionsdaten.absender.rufnummern[].nummerntyp; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.absender.rufnummern[].rufnummer; SG2.NAD+MS.SG3.CTA.COM+[EM|FX|TE|AJ|AL]
transaktionsdaten.abtretungserklaerung.link1; SG4.IDE+24.FTX+Z13
transaktionsdaten.abtretungserklaerung.link2; SG4.IDE+24.FTX+Z13
transaktionsdaten.abtretungserklaerung.link3; SG4.IDE+24.FTX+Z13
transaktionsdaten.abtretungserklaerung.link4; SG4.IDE+24.FTX+Z13
transaktionsdaten.abtretungserklaerung.link5; SG4.IDE+24.FTX+Z13
transaktionsdaten.abtretungserklaerung.passwort; SG4.IDE+24.FTX+Z13
transaktionsdaten.dokumentennummer; BGM+E01
transaktionsdaten.empfaenger.rollencodenummer; SG2.NAD+MR
transaktionsdaten.empfaenger.rollencodetyp; SG2.NAD+MR
transaktionsdaten.freitext.freitext1; SG4.IDE+24.FTX+ACB
transaktionsdaten.freitext.freitext2; SG4.IDE+24.FTX+ACB
transaktionsdaten.freitext.freitext3; SG4.IDE+24.FTX+ACB
transaktionsdaten.freitext.freitext4; SG4.IDE+24.FTX+ACB
transaktionsdaten.freitext.freitext5; SG4.IDE+24.FTX+ACB
transaktionsdaten.kategorie; BGM+E01
transaktionsdaten.nachrichtendatum; DTM+137
transaktionsdaten.nachrichtenreferenznummer; UNH
transaktionsdaten.pruefidentifikator; SG4.IDE+24.SG6.RFF+Z13
transaktionsdaten.transaktionsgrund; SG4.IDE+24.STS+7
transaktionsdaten.transaktionsgrundergaenzung; SG4.IDE+24.STS+7
transaktionsdaten.vertragsbeginn; SG4.IDE+24.DTM+92
transaktionsdaten.vorgangsnummer; SG4.IDE+24
