stammdaten.BILANZIERUNG[].wahlrechtPrognosegrundlage; SG4.IDE+24.SG8.SEQ+[Z80|Z81].SG10.CCI+++Z84.CAV
stammdaten.MARKTLOKATION[].datenqualitaet; SG4.IDE+24.SG8.SEQ+[Z80|Z81], SG4.IDE+24.SG8.SEQ+[ZD1|ZD2], SG4.IDE+24.SG8.SEQ+[ZD3|ZD4], SG4.IDE+24.SG12.NAD+[Z55|Z56], SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58], SG4.IDE+24.SG12.NAD+[Z59|Z60]
stammdaten.MARKTLOKATION[].eigentuemer.anrede; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.gewerbekennzeichnung; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.name1; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.name2; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.name3; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.name4; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.hausnummer; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.landescode; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.ort; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.ortsteil; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.postfach; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.postleitzahl; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].eigentuemer.partneradresse.strasse; SG4.IDE+24.SG12.NAD+[Z55|Z56]
stammdaten.MARKTLOKATION[].energieherkunft[].erzeugungsart; SG4.IDE+24.SG8.SEQ+[Z80|Z81].SG10.CCI+++Z34.CAV
stammdaten.MARKTLOKATION[].fernsteuerbarkeit; SG4.IDE+24.SG8.SEQ+[Z80|Z81].SG10.CCI+Z24
stammdaten.MARKTLOKATION[].gueltigkeitszeitraum.zeitraumId; SG4.IDE+24.SG8.SEQ+[Z80|Z81], SG4.IDE+24.SG8.SEQ+[ZD1|ZD2], SG4.IDE+24.SG8.SEQ+[ZD3|ZD4], SG4.IDE+24.SG12.NAD+[Z55|Z56].RFF+Z46, SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58].RFF+Z46, SG4.IDE+24.SG12.NAD+[Z59|Z60].RFF+Z46
stammdaten.MARKTLOKATION[].hausverwalter.anrede; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
stammdaten.MARKTLOKATION[].hausverwalter.gewerbekennzeichnung; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
stammdaten.MARKTLOKATION[].hausverwalter.name1; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
stammdaten.MARKTLOKATION[].hausverwalter.name2; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
stammdaten.MARKTLOKATION[].hausverwalter.name3; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
stammdaten.MARKTLOKATION[].hausverwalter.name4; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
stammdaten.MARKTLOKATION[].hausverwalter.partneradresse.hausnummer; SG4.IDE+24.SG12.NAD+[DDO|Z57|Z58]
